time,open,high,low,close,Volume,Volume MA
-420373800,48.02,48.02,48.02,48.02,2130000,1847000
-420287400,48.099998,48.099998,48.099998,48.099998,1550000,1800500
-420201000,47.810001,47.810001,47.810001,47.810001,1690000,1757500
-419941800,47.560001,47.560001,47.560001,47.560001,1860000,1748500
-419855400,47.380001,47.380001,47.380001,47.380001,1920000,1758000
-419769000,47.049999,47.049999,47.049999,47.049999,1930000,1765000
-419682600,46.09,46.09,46.09,46.09,2000000,1765000
-419596200,47.209999,47.209999,47.209999,47.209999,2110000,1781000
-419337000,47.099998,47.099998,47.099998,47.099998,1940000,1792000
-419250600,46.790001,46.790001,46.790001,46.790001,2200000,1813500
-419164200,46.240002,46.240002,46.240002,46.240002,2040000,1793500
-419077800,46.209999,46.209999,46.209999,46.209999,2150000,1822500
-418991400,46.580002,46.580002,46.580002,46.580002,2110000,1848500
